_id,name,imp_dispersion_CO/M,sup_calcination_temp,sup_calcination_time,sup_Ce,sup_Pr,sup_crystallite_size_nm,Sbet,ageing_temp,ageing_time,doi,has_impregnated_metal,fingerprint,imp_calcination_temp,imp_calcination_time,imp_Pt_wt%,sup_Co,sup_Zr,sup_Ba,sup_Fe,crystal,alkaline_earth_promotor,promotor_wt%,sup_Ni,sup_Mn,sup_Cu,sup_La,sup_Al,sup_Ti,sup_M_to_O_ratio,sup_K,sup_Mg
6a7d9f997bffe6ebe23a3f1c,Ce50Pr50-NP,,550.0,4.0,0.5,0.5,,16.0,,,10.1016/j.apcatb.2017.12.048,False,b09f79e5d184691077f5aa3917e5394edb39fa96edcabc62f3ce4f8871891eb0,,,,,,,,,,,,,,,,,,,
6a7d9f997bffe6ebe23a3f1d,Ce-NP,,550.0,4.0,1.0,,,8.0,,,10.1016/j.apcatb.2017.12.048,False,c23a229aaf54448f4c48fc116aced5e44c91ad87cec25b8387be6295f222594a,,,,,,,,,,,,,,,,,,,
6a7d9f997bffe6ebe23a3f1e,Co50Ce50,,500.0,3.0,0.5,,5.73,52.0,,,10.1016/j.apcata.2017.02.005,False,2397be5fe5e3a8f7e578df0877985139f90ecb66cf71c4812539d96676063707,,,,0.5,,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f1f,Co25Ce75,,500.0,3.0,0.75,,5.23,64.0,,,10.1016/j.apcata.2017.02.005,False,913695e0b8ee8a35e609ea76364957139fc4ac64ed03345d6636d2ccb777b0e5,,,,0.25,,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f20,Co75Ce25,,500.0,3.0,0.25,,3.37,65.0,,,10.1016/j.apcata.2017.02.005,False,432bca7c67f02411e0e3cff723bd49a25ed05cd7c25f77d44d72b778d989ae22,,,,0.75,,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f21,Co3O4,,500.0,3.0,,,30.6,5.2,,,10.1016/j.apcata.2017.02.005,False,ba63ff5654dbfd56c180b1366addc64c329937e2b8f1a1b7715ce8f016bf0619,,,,1.0,,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f22,CeO2,,500.0,3.0,1.0,,14.0,64.0,,,10.1016/j.apcatb.2009.07.015,False,fe33f271f04f060d2c26ae52c14492516d33513e2a936026b24c006c1bb9161a,,,,,,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f23,Ce0.76Zr0.24O2,,500.0,3.0,0.76,,11.0,64.0,,,10.1016/j.apcatb.2009.07.015,False,4dcebfee59e4d4f2c4ce5eb0797b1e3f8b439456968c59c6e3b7a57141f87816,,,,,0.24,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f24,Ce0.56Zr0.44O2,,500.0,3.0,0.56,,,31.0,,,10.1016/j.apcatb.2009.07.015,False,b1c07b10199cacf62d0a67b695e84352439456bb42a7fea8ea1ea8cbc10a8e2c,,,,,0.44,,,,,,,,,,,,,,
6a7d9f9a7bffe6ebe23a3f25,Ce0.36Zr0.64O2,,500.0,3.0,0.36,,,8.0,,,10.1016/j.apcatb.2009.07.015,False,62e0edc8b55effebd08ee56c41581fce5b631ebded1e674c23e36eb2bc5116ac,,,,,0.64,,,,,,,,,,,,,,
